x,Q2,y,SE,JB,DA,SIG,ESIG
0.000125893,1.25893,0.505051,21.1332,28.7963,31.5655,25.0636,24.2552
0.000125893,1.99526,0.800451,5.87384,24.1066,22.4756,15.5828,21.7673
0.000125893,3.16228,1.26863,0.594101,28.9263,15.7244,14.6292,26.061
0.000125893,5.01187,2.01064,0,0,0,0,0
0.000125893,7.94328,3.18665,0,0,0,0,0
0.000125893,12.5893,5.05051,0,0,0,0,0
0.000125893,19.9526,8.00451,0,0,0,0,0
0.000125893,31.6228,12.6863,0,0,0,0,0
0.000125893,50.1187,20.1064,0,0,0,0,0
0.000125893,79.4328,31.8665,0,0,0,0,0
0.000125893,125.893,50.5051,0,0,0,0,0
0.000125893,199.526,80.0451,0,0,0,0,0
0.000125893,316.228,126.863,0,0,0,0,0
0.000125893,501.187,201.064,0,0,0,0,0
0.000125893,794.328,318.665,0,0,0,0,0
0.000125893,1258.93,505.051,0,0,0,0,0
0.000125893,1995.26,800.451,0,0,0,0,0
0.000125893,3162.28,1268.63,0,0,0,0,0
0.000125893,5011.87,2010.64,0,0,0,0,0
0.000125893,7943.28,3186.65,0,0,0,0,0
0.000199526,1.25893,0.318665,38.7928,23.4152,37.685,30.6788,31.8664
0.000199526,1.99526,0.505051,14.5585,26.623,30.6971,22.0119,19.416
0.000199526,3.16228,0.800451,5.65448,25.2812,21.2645,13.7782,20.6209
0.000199526,5.01187,1.26863,0.60331,29.5067,18.9576,5.41183,31.0611
0.000199526,7.94328,2.01064,0,0,0,0,0
0.000199526,12.5893,3.18665,0,0,0,0,0
0.000199526,19.9526,5.05051,0,0,0,0,0
0.000199526,31.6228,8.00451,0,0,0,0,0
0.000199526,50.1187,12.6863,0,0,0,0,0
0.000199526,79.4328,20.1064,0,0,0,0,0
0.000199526,125.893,31.8665,0,0,0,0,0
0.000199526,199.526,50.5051,0,0,0,0,0
0.000199526,316.228,80.0451,0,0,0,0,0
0.000199526,501.187,126.863,0,0,0,0,0
0.000199526,794.328,201.064,0,0,0,0,0
0.000199526,1258.93,318.665,0,0,0,0,0
0.000199526,1995.26,505.051,0,0,0,0,0
0.000199526,3162.28,800.451,0,0,0,0,0
0.000199526,5011.87,1268.63,0,0,0,0,0
0.000199526,7943.28,2010.64,0,0,0,0,0
0.000316228,1.25893,0.201064,50.9607,23.2526,38.4845,30.691,39.5625
0.000316228,1.99526,0.318665,24.8224,22.5795,38.0333,30.1775,24.7434
0.000316228,3.16228,0.505051,13.0601,26.1415,30.8516,22.7376,17.761
0.000316228,5.01187,0.800451,3.56474,24.2743,19.9117,13.3487,18.6897
0.000316228,7.94328,1.26863,0.390919,31.7929,15.7696,4.45917,30.4467
0.000316228,12.5893,2.01064,0,0,0,0,0
0.000316228,19.9526,3.18665,0,0,0,0,0
0.000316228,31.6228,5.05051,0,0,0,0,0
0.000316228,50.1187,8.00451,0,0,0,0,0
0.000316228,79.4328,12.6863,0,0,0,0,0
0.000316228,125.893,20.1064,0,0,0,0,0
0.000316228,199.526,31.8665,0,0,0,0,0
0.000316228,316.228,50.5051,0,0,0,0,0
0.000316228,501.187,80.0451,0,0,0,0,0
0.000316228,794.328,126.863,0,0,0,0,0
0.000316228,1258.93,201.064,0,0,0,0,0
0.000316228,1995.26,318.665,0,0,0,0,0
0.000316228,3162.28,505.051,0,0,0,0,0
0.000316228,5011.87,800.451,0,0,0,0,0
0.000316228,7943.28,1268.63,0,0,0,0,0
0.000501187,1.25893,0.126863,55.6516,24.362,36.8034,31.6263,42.4244
0.000501187,1.99526,0.201064,39.2677,22.5655,36.9205,27.5759,31.8264
0.000501187,3.16228,0.318665,20.7434,22.2172,37.4854,30.3053,23.3267
0.000501187,5.01187,0.505051,9.92179,27.309,30.6009,21.404,14.5817
0.000501187,7.94328,0.800451,4.36191,27.1198,19.0453,12.4163,22.3301
0.000501187,12.5893,1.26863,0.574562,28.0543,11.6066,6.78572,28.4299
0.000501187,19.9526,2.01064,0,0,0,0,0
0.000501187,31.6228,3.18665,0,0,0,0,0
0.000501187,50.1187,5.05051,0,0,0,0,0
0.000501187,79.4328,8.00451,0,0,0,0,0
0.000501187,125.893,12.6863,0,0,0,0,0
0.000501187,199.526,20.1064,0,0,0,0,0
0.000501187,316.228,31.8665,0,0,0,0,0
0.000501187,501.187,50.5051,0,0,0,0,0
0.000501187,794.328,80.0451,0,0,0,0,0
0.000501187,1258.93,126.863,0,0,0,0,0
0.000501187,1995.26,201.064,0,0,0,0,0
0.000501187,3162.28,318.665,0,0,0,0,0
0.000501187,5011.87,505.051,0,0,0,0,0
0.000501187,7943.28,800.451,0,0,0,0,0
0.000794328,1.25893,0.0800451,56.5499,24.4968,36.7466,32.6011,41.911
0.000794328,1.99526,0.126863,48.7867,23.1845,36.1264,27.4704,34.4689
0.000794328,3.16228,0.201064,31.9151,22.4273,36.5119,25.3614,30.7808
0.000794328,5.01187,0.318665,16.1327,23.9782,36.042,27.9974,23.1912
0.000794328,7.94328,0.505051,10.0839,28.7386,29.4365,20.0659,15.1979
0.000794328,12.5893,0.800451,4.14991,25.1687,18.2196,12.6595,19.6
0.000794328,19.9526,1.26863,0.260177,28.8879,11.7121,4.56788,28.5151
0.000794328,31.6228,2.01064,0,0,0,0,0
0.000794328,50.1187,3.18665,0,0,0,0,0
0.000794328,79.4328,5.05051,0,0,0,0,0
0.000794328,125.893,8.00451,0,0,0,0,0
0.000794328,199.526,12.6863,0,0,0,0,0
0.000794328,316.228,20.1064,0,0,0,0,0
0.000794328,501.187,31.8665,0,0,0,0,0
0.000794328,794.328,50.5051,0,0,0,0,0
0.000794328,1258.93,80.0451,0,0,0,0,0
0.000794328,1995.26,126.863,0,0,0,0,0
0.000794328,3162.28,201.064,0,0,0,0,0
0.000794328,5011.87,318.665,0,0,0,0,0
0.000794328,7943.28,505.051,0,0,0,0,0
0.00125893,1.25893,0.0505051,57.7274,24.6869,36.3563,33.9985,43.3999
0.00125893,1.99526,0.0800451,53.9798,24.2043,35.8815,30.7948,36.497
0.00125893,3.16228,0.126863,44.3996,22.9027,35.9674,25.643,30.1497
0.00125893,5.01187,0.201064,26.6801,21.6998,34.3287,24.1285,28.6219
0.00125893,7.94328,0.318665,13.4914,25.9456,34.0603,28.6918,20.4652
0.00125893,12.5893,0.505051,9.87539,27.6795,28.1472,21.5067,15.705
0.00125893,19.9526,0.800451,3.65202,27.2751,18.1202,12.0892,19.4615
0.00125893,31.6228,1.26863,0.494945,31.1323,11.8961,4.17349,29.2661
0.00125893,50.1187,2.01064,0,0,0,0,0
0.00125893,79.4328,3.18665,0,0,0,0,0
0.00125893,125.893,5.05051,0,0,0,0,0
0.00125893,199.526,8.00451,0,0,0,0,0
0.00125893,316.228,12.6863,0,0,0,0,0
0.00125893,501.187,20.1064,0,0,0,0,0
0.00125893,794.328,31.8665,0,0,0,0,0
0.00125893,1258.93,50.5051,0,0,0,0,0
0.00125893,1995.26,80.0451,0,0,0,0,0
0.00125893,3162.28,126.863,0,0,0,0,0
0.00125893,5011.87,201.064,0,0,0,0,0
0.00125893,7943.28,318.665,0,0,0,0,0
0.00199526,1.25893,0.0318665,58.1359,25.1564,35.3699,34.1752,44.0489
0.00199526,1.99526,0.0505051,56.524,24.3303,36.5406,30.4116,36.7186
0.00199526,3.16228,0.0800451,52.2035,23.2639,35.0414,27.1161,29.7151
0.00199526,5.01187,0.126863,38.4875,22.5972,34.1148,24.6062,28.4415
0.00199526,7.94328,0.201064,18.3147,22.1314,32.1687,24.0261,29.1771
0.00199526,12.5893,0.318665,13.1133,23.2736,31.4447,29.2032,21.9652
0.00199526,19.9526,0.505051,9.41305,33.6315,28.5913,22.6126,15.3713
0.00199526,31.6228,0.800451,3.48976,30.4554,17.5995,12.4409,21.0427
0.00199526,50.1187,1.26863,0.884714,33.0493,10.6827,3.28096,30.8651
0.00199526,79.4328,2.01064,0,0,0,0,0
0.00199526,125.893,3.18665,0,0,0,0,0
0.00199526,199.526,5.05051,0,0,0,0,0
0.00199526,316.228,8.00451,0,0,0,0,0
0.00199526,501.187,12.6863,0,0,0,0,0
0.00199526,794.328,20.1064,0,0,0,0,0
0.00199526,1258.93,31.8665,0,0,0,0,0
0.00199526,1995.26,50.5051,0,0,0,0,0
0.00199526,3162.28,80.0451,0,0,0,0,0
0.00199526,5011.87,126.863,0,0,0,0,0
0.00199526,7943.28,201.064,0,0,0,0,0
0.00316228,1.25893,0.0201064,56.0717,25.1815,35.6935,35.2387,45.844
0.00316228,1.99526,0.0318665,60.307,24.2563,36.5528,31.2504,37.9895
0.00316228,3.16228,0.0505051,55.2207,23.3121,34.6339,27.0234,29.4743
0.00316228,5.01187,0.0800451,48.1609,22.6995,35.12,24.9288,26.9797
0.00316228,7.94328,0.126863,27.6422,22.5647,32.4294,23.9514,27.7257
0.00316228,12.5893,0.201064,16.5664,22.4306,29.4517,23.6745,28.0988
0.00316228,19.9526,0.318665,12.6012,28.6477,30.2232,29.1618,21.8529
0.00316228,31.6228,0.505051,8.29922,43.8635,31.9606,27.3124,14.4077
0.00316228,50.1187,0.800451,2.77831,31.3956,15.8021,12.3199,23.6084
0.00316228,79.4328,1.26863,0.718752,36.2797,7.18051,2.60113,29.5501
0.00316228,125.893,2.01064,0,0,0,0,0
